Question_User,Response_User,Similarity
10-24-40sUser33,10-24-40sUser50,0.9691253900527954
10-24-40sUser53,10-24-40sUser3,0.9626905918121338
10-24-40sUser16,10-24-40sUser53,0.9454158544540405
10-24-40sUser16,10-24-40sUser52,0.9433152079582214
10-24-40sUser41,10-24-40sUser13,0.9122055768966675
10-24-40sUser13,10-24-40sUser12,0.9006088972091675
10-24-40sUser39,10-24-40sUser20,0.8971179723739624
10-24-40sUser39,10-24-40sUser37,0.8863955736160278
10-24-40sUser19,10-24-40sUser10,0.8694601058959961
10-24-40sUser6,10-24-40sUser50,0.8678857088088989
10-24-40sUser6,10-24-40sUser50,0.8602480292320251
10-24-40sUser19,10-24-40sUser6,0.8601076602935791
10-24-40sUser33,10-24-40sUser19,0.8587086200714111
10-24-40sUser6,10-24-40sUser12,0.8569566607475281
10-24-40sUser16,10-24-40sUser19,0.8525049686431885
10-24-40sUser33,10-24-40sUser6,0.8335793018341064
10-24-40sUser33,10-24-40sUser12,0.8255615234375
10-24-40sUser13,10-24-40sUser33,0.8180357217788696
10-24-40sUser13,10-24-40sUser50,0.8002323508262634
10-24-40sUser13,10-24-40sUser16,0.7874597311019897
10-24-40sUser16,10-24-40sUser6,0.7726871967315674
10-24-40sUser16,10-24-40sUser20,0.7718144655227661
10-24-40sUser13,10-24-40sUser16,0.7519161105155945
10-24-40sUser21,10-24-40sUser33,0.7466592192649841
10-24-40sUser50,10-24-40sUser19,0.739441454410553
10-24-40sUser50,10-24-40sUser52,0.731905460357666
10-24-40sUser12,10-24-40sUser20,0.7246175408363342
10-24-40sUser41,10-24-40sUser24,0.7157241106033325
10-24-40sUser41,10-24-40sUser19,0.7124165296554565
10-24-40sUser21,10-24-40sUser16,0.7100471258163452
10-24-40sUser13,10-24-40sUser3,0.7037116885185242
10-24-40sUser12,10-24-40sUser28,0.7025282382965088
10-24-40sUser33,10-24-40sUser19,0.6952760219573975
10-24-40sUser41,10-24-40sUser35,0.6714853644371033
10-24-40sUser13,10-24-40sUser21,0.66965651512146
10-24-40sUser12,10-24-40sUser35,0.6661403179168701
10-24-40sUser33,10-24-40sUser41,0.660791277885437
10-24-40sUser16,10-24-40sUser19,0.6593379378318787
10-24-40sUser13,10-24-40sUser16,0.6496361494064331
10-24-40sUser41,10-24-40sUser48,0.6370118856430054
10-24-40sUser13,10-24-40sUser33,0.6344089508056641
10-24-40sUser41,10-24-40sUser13,0.630563497543335
10-24-40sUser6,10-24-40sUser16,0.6286637783050537
10-24-40sUser13,10-24-40sUser35,0.625084400177002
10-24-40sUser39,10-24-40sUser16,0.616547703742981
10-24-40sUser53,10-24-40sUser16,0.6082000732421875
10-24-40sUser21,10-24-40sUser6,0.6067739725112915
10-24-40sUser13,10-24-40sUser34,0.6065711975097656
10-24-40sUser19,10-24-40sUser12,0.6022319197654724
10-24-40sUser50,10-24-40sUser6,0.6010531187057495
10-24-40sUser13,10-24-40sUser19,0.5906596183776855
10-24-40sUser41,10-24-40sUser50,0.578802227973938
10-24-40sUser21,10-24-40sUser35,0.5784266591072083
10-24-40sUser21,10-24-40sUser35,0.5747196674346924
10-24-40sUser13,10-24-40sUser50,0.5745747089385986
10-24-40sUser16,10-24-40sUser20,0.5740420818328857
10-24-40sUser19,10-24-40sUser34,0.5731213092803955
10-24-40sUser6,10-24-40sUser13,0.5725356936454773
10-24-40sUser13,10-24-40sUser33,0.5719848871231079
10-24-40sUser53,10-24-40sUser37,0.5699236392974854
10-24-40sUser13,10-24-40sUser37,0.5540392398834229
10-24-40sUser33,10-24-40sUser34,0.5529104471206665
10-24-40sUser50,10-24-40sUser19,0.5481013655662537
10-24-40sUser12,10-24-40sUser13,0.5423579812049866
10-24-40sUser33,10-24-40sUser13,0.5371579527854919
10-24-40sUser21,10-24-40sUser34,0.5341211557388306
10-24-40sUser13,10-24-40sUser33,0.5336622595787048
10-24-40sUser13,10-24-40sUser3,0.5307213068008423
10-24-40sUser41,10-24-40sUser28,0.5298580527305603
10-24-40sUser13,10-24-40sUser53,0.5298570394515991
10-24-40sUser41,10-24-40sUser52,0.5271837711334229
10-24-40sUser50,10-24-40sUser28,0.5157508850097656
10-24-40sUser21,10-24-40sUser20,0.514297366142273
10-24-40sUser13,10-24-40sUser16,0.5116966366767883
10-24-40sUser53,10-24-40sUser50,0.5107022523880005
10-24-40sUser35,10-24-40sUser37,0.5089365243911743
10-24-40sUser53,10-24-40sUser13,0.5020409822463989
